,p,U.0,U.1,U.2,Ksl,Us.0,Us.1,Us.2,rho,voidfraction,Volume,Cell.Type,t,dp
38,160.82,-0.41781,-0.95227,2.5726,4130.9,-0.10842,-0.18549,0.015081,1.21,0.73902,0.000019629,1,1.9,194.5922
39,157.98,-0.072828,0.3061,2.4295,2337.9,-0.10851,-0.13813,0.067355,1.21,0.82206,0.000019629,1,1.95,191.1558
40,116.94,0.23659,0.57063,2.4065,2560.4,-0.0045292,0.023797,-0.022373,1.21,0.80909,0.000019629,1,2,141.4974
41,158.88,0.47376,1.1124,2.4779,4088.2,0.10285,0.19426,0.025667,1.21,0.74397,0.000019629,1,2.05,192.2448
42,210.05,0.039255,0.54447,2.5832,3955.3,0.12717,0.36032,0.10156,1.21,0.75191,0.000019629,1,2.1,254.1605
43,138.4,-0.0049902,-0.37303,2.3594,2087,0.043367,0.081984,0.032534,1.21,0.83752,0.000019629,1,2.15,167.464
44,165.94,-0.30923,-0.6547,2.4491,3125.3,-0.040816,-0.073105,-0.013922,1.21,0.78495,0.000019629,1,2.2,200.7874
45,214.06,-0.16628,-0.61707,2.5757,4729.7,-0.061462,-0.19136,0.032195,1.21,0.71357,0.000019629,1,2.25,259.0126
46,157.5,-0.0089402,-0.01163,2.2783,1719.6,-0.013434,-0.0052238,-0.24677,1.21,0.87417,0.000019629,1,2.3,190.575
47,198.85,0.056265,0.23368,2.4455,2396,-0.055176,-0.16582,0.08926,1.21,0.81236,0.000019629,1,2.35,240.6085
48,168.7,0.13439,0.65159,2.3204,1939.7,-0.0037971,0.032631,-0.030326,1.21,0.84374,0.000019629,1,2.4,204.127
49,173.74,0.44084,0.93472,2.5766,4468.5,0.095439,0.20516,0.019933,1.21,0.72772,0.000019629,1,2.45,210.2254
50,225.95,-0.018021,0.38181,2.5342,3385,0.038815,0.25327,0.0874,1.21,0.77348,0.000019629,1,2.5,273.3995
51,170.46,-0.13396,-0.089958,2.3639,2109.1,-0.012974,0.084751,0.003528,1.21,0.82527,0.000019629,1,2.55,206.2566
52,156.25,-0.19505,-0.60329,2.5508,4390.3,0.0029291,-0.078809,0.006127,1.21,0.72625,0.000019629,1,2.6,189.0625
53,222.36,-0.36998,-0.52248,2.5654,4296.8,-0.094356,-0.18738,0.070115,1.21,0.73557,0.000019629,1,2.65,269.0556
54,131.47,-0.0074835,0.1264,2.3455,1821.6,-0.11748,-0.19538,0.053834,1.21,0.84147,0.000019629,1,2.7,159.0787
55,112.63,0.1939,0.55302,2.3427,2837,-0.031624,-0.0019219,-0.045085,1.21,0.80173,0.000019629,1,2.75,136.2823
56,225.97,0.68163,0.98289,2.6849,4867.9,0.090892,0.2254,0.10982,1.21,0.71993,0.000019629,1,2.8,273.4237
57,192.04,-0.013537,-0.0096068,2.3432,2212.2,-0.019599,-0.0079334,-0.17874,1.21,0.85134,0.000019629,1,2.85,232.3684
58,153.6,0.28868,0.25572,2.4455,3815,0.14329,0.21605,0.012772,1.21,0.75782,0.000019629,1,2.9,185.856
59,159.99,0.0072772,-0.84306,2.3574,2663.5,0.035967,0.024982,0.044758,1.21,0.80514,0.000019629,1,2.95,193.5879
60,150.22,-0.17947,-1.0475,2.4804,3739.7,-0.017333,-0.18041,-0.0057364,1.21,0.75242,0.000019629,1,3,181.7662
61,234.91,-0.35742,-0.72712,2.6031,4388,-0.1076,-0.30523,0.089184,1.21,0.73365,0.000019629,1,3.05,284.2411
62,122.01,-0.13743,-0.1547,2.3539,2218.3,-0.12882,-0.20542,0.04006,1.21,0.8259,0.000019629,1,3.1,147.6321
63,124.39,0.28985,0.65339,2.4017,3129.3,-0.010169,0.022621,-0.023498,1.21,0.78603,0.000019629,1,3.15,150.5119
64,211.88,0.31153,0.97297,2.6182,4643.6,0.088586,0.21115,0.062317,1.21,0.71756,0.000019629,1,3.2,256.3748
65,160.4,0.091853,0.13858,2.5465,3969.7,0.073341,0.20782,0.0671,1.21,0.73999,0.000019629,1,3.25,194.084
66,130.79,-0.26598,-0.54662,2.313,1692.4,0.034456,0.034157,0.029231,1.21,0.85474,0.000019629,1,3.3,158.2559
67,147.18,-0.26152,-0.8161,2.4227,3005.6,-0.048307,-0.12112,-0.032819,1.21,0.78923,0.000019629,1,3.35,178.0878
68,258.31,-0.035841,-0.027103,2.3978,2527.6,-0.025773,-0.014036,-0.12641,1.21,0.83077,0.000019629,1,3.4,312.5551
69,276.85,-0.034808,-1.0377,2.7577,5136.2,-0.080512,-0.37511,0.12927,1.21,0.71074,0.000019629,1,3.45,334.9885
70,135.56,-0.084668,0.38315,2.2735,1388.8,-0.050174,-0.13135,0.0040793,1.21,0.88979,0.000019629,1,3.5,164.0276
71,123.17,0.25104,0.94789,2.3387,2677.2,0.013637,0.12823,-0.058586,1.21,0.81498,0.000019629,1,3.55,149.0357
72,180.5,0.40197,0.90354,2.5267,4165.7,0.075894,0.22426,0.042629,1.21,0.73609,0.000019629,1,3.6,218.405
73,233.08,-0.22447,0.35303,2.623,4045.5,-0.0033047,0.29207,0.1456,1.21,0.74884,0.000019629,1,3.65,282.0268
74,162.19,-0.11585,-0.34295,2.2339,1179.7,-0.027594,0.066287,-0.014022,1.21,0.88884,0.000019629,1,3.7,196.2499
75,159.43,-0.012045,-0.56044,2.4294,3090.8,-0.032463,-0.11994,-0.059459,1.21,0.79098,0.000019629,1,3.75,192.9103
76,187.28,-0.26629,-0.46994,2.6673,5123.5,-0.039641,-0.16955,0.060382,1.21,0.70146,0.000019629,1,3.8,226.6088
77,176.21,-0.17529,0.14538,2.49,2741.5,-0.070112,-0.12726,0.092245,1.21,0.79144,0.000019629,1,3.85,213.2141
78,128.87,0.0098925,0.4822,2.3445,2113.9,-0.049549,0.031183,-0.021105,1.21,0.82753,0.000019629,1,3.9,155.9327
79,123.93,-0.075308,-0.030651,2.4538,2747.7,-0.029927,-0.015264,-0.099315,1.21,0.81225,0.000019629,1,3.95,149.9553
80,153.13,0.12638,0.38613,2.5552,3804,-0.0029226,0.1165,0.0047972,1.21,0.74789,0.000019629,1,4,185.2873
81,223.98,0.055667,0.10521,2.5957,4533.8,0.063034,0.14891,0.048408,1.21,0.72189,0.000019629,1,4.05,271.0158
82,155.62,-0.25475,-0.56625,2.4298,2569,-0.011504,0.021764,0.052662,1.21,0.79855,0.000019629,1,4.1,188.3002
83,159.93,-0.21299,-0.4978,2.4111,2656.7,-0.05089,-0.10328,-0.021801,1.21,0.79472,0.000019629,1,4.15,193.5153
84,175.96,-0.24507,-0.11951,2.6353,4966.7,-0.086475,-0.15128,0.065856,1.21,0.70264,0.000019629,1,4.2,212.9116
85,162.93,0.019358,0.10006,2.4952,3391.3,-0.083487,-0.099787,0.058829,1.21,0.75916,0.000019629,1,4.25,197.1453
86,160.06,0.45318,0.51467,2.4302,2994.1,0.033955,0.023505,0.013778,1.21,0.77967,0.000019629,1,4.3,193.6726
87,174.82,0.23961,0.56536,2.5485,3974.4,0.12387,0.18861,0.077436,1.21,0.73771,0.000019629,1,4.35,211.5322
88,149.73,-0.042731,0.10221,2.3973,3016,0.088476,0.15381,0.015759,1.21,0.78587,0.000019629,1,4.4,181.1733
89,149.07,-0.28276,-0.58176,2.492,3654.2,0.037853,0.078247,0.044139,1.21,0.75136,0.000019629,1,4.45,180.3747
90,127.46,-0.087002,-0.015064,2.5229,3078.6,-0.042263,-0.017574,-0.12079,1.21,0.78882,0.000019629,1,4.5,154.2266
91,188.59,-0.57755,-0.98863,2.5138,3823.3,-0.10618,-0.1726,0.020107,1.21,0.74504,0.000019629,1,4.55,228.1939
92,173.64,-0.22195,-0.083225,2.4887,2541.8,-0.15561,-0.23694,0.093627,1.21,0.80309,0.000019629,1,4.6,210.1044
93,142.07,0.070127,0.25325,2.326,2089,-0.05954,-0.070458,-0.039069,1.21,0.83478,0.000019629,1,4.65,171.9047
94,221.92,0.45481,0.94103,2.5881,5008.3,0.077979,0.12703,0.02862,1.21,0.70695,0.000019629,1,4.7,268.5232
95,223.16,0.14364,0.40346,2.5232,2793.8,0.11898,0.26361,0.078183,1.21,0.80078,0.000019629,1,4.75,270.0236
96,117.25,0.027061,0.080839,2.3088,1964,0.067357,0.16309,-0.014268,1.21,0.83851,0.000019629,1,4.8,141.8725
97,122.76,-0.23656,-0.38297,2.4672,3179,-0.013482,-0.019509,-0.0064291,1.21,0.77123,0.000019629,1,4.85,148.5396
98,164.51,-0.29585,-0.57125,2.5679,4386.8,-0.04629,-0.13083,0.043623,1.21,0.72236,0.000019629,1,4.9,199.0571
99,199.14,0.077383,0.18909,2.5715,3283.1,-0.074347,-0.1933,0.10638,1.21,0.7712,0.000019629,1,4.95,240.9594
100,124.25,0.061771,0.28128,2.3123,1778.8,0.0042954,-0.0076218,-0.013988,1.21,0.84429,0.000019629,1,5,150.3425
