,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
70,6163.2,-0.21014,0.055095,1.0457,-0.0034938,0.059575,0.041161,3754.8,NA,NA,NA,NA,168.46,NA,1.21,0.60888,0.000019624,1,3.45,203.8366
71,6198.3,-0.49843,0.043486,0.97817,-0.073701,0.05854,-0.066881,3754.8,NA,NA,NA,NA,88.315,NA,1.21,0.61182,0.000019624,1,3.5,106.86115
72,8008.5,0.04664,-0.27366,1.1708,-0.085228,-0.02333,0.072328,3754.8,NA,NA,NA,NA,222.19,NA,1.21,0.55104,0.000019624,1,3.55,268.8499
73,3359.6,0.1041,-0.3581,0.87975,-0.027913,-0.080836,-0.073876,3754.8,NA,NA,NA,NA,107.56,NA,1.21,0.72968,0.000019624,1,3.6,130.1476
74,9659.6,0.03894,-0.15069,1.1764,0.010311,-0.078773,-0.029561,3754.8,NA,NA,NA,NA,119.44,NA,1.21,0.51194,0.000019624,1,3.65,144.5224
75,5453.2,0.34487,0.34886,1.0084,0.066141,0.041203,0.016841,3754.8,NA,NA,NA,NA,174.05,NA,1.21,0.64223,0.000019624,1,3.7,210.6005
76,7960.8,0.17885,0.23613,1.0812,0.091756,0.0952,-0.031692,3754.8,NA,NA,NA,NA,103.08,NA,1.21,0.54967,0.000019624,1,3.75,124.7268
77,7346.4,-0.30788,-0.21853,1.102,-0.021116,0.020313,0.030407,3754.8,NA,NA,NA,NA,197.2,NA,1.21,0.57388,0.000019624,1,3.8,238.612
78,4814.1,-0.27028,-0.23565,0.95307,-0.042702,-0.023577,-0.043299,3754.8,NA,NA,NA,NA,109.12,NA,1.21,0.65631,0.000019624,1,3.85,132.0352
79,10070,-0.054601,-0.01625,1.2132,-0.043058,-0.036963,-0.002021,3754.8,NA,NA,NA,NA,176.13,NA,1.21,0.48826,0.000019624,1,3.9,213.1173
80,4359.2,0.29622,0.37532,0.97117,0.04757,0.10369,0.034704,3754.8,NA,NA,NA,NA,151.41,NA,1.21,0.67468,0.000019624,1,3.95,183.2061
81,3097,0.19595,0.25952,0.91086,-0.0038683,0.0037188,0.020587,3754.8,NA,NA,NA,NA,157.77,NA,1.21,0.72924,0.000019624,1,4,190.9017
82,5038.3,0.033612,0.27658,0.91063,0.012912,0.030524,-0.090577,3754.8,NA,NA,NA,NA,61.364,NA,1.21,0.6874,0.000019624,1,4.05,74.25044
83,9677.6,0.083077,0.098219,1.2113,0.048876,0.059961,0.03869,3754.8,NA,NA,NA,NA,202.27,NA,1.21,0.50629,0.000019624,1,4.1,244.7467
84,4975.1,-0.474,-0.26186,0.94158,-0.057514,-0.010012,-0.012397,3754.8,NA,NA,NA,NA,116.47,NA,1.21,0.65327,0.000019624,1,4.15,140.9287
85,6723.5,-0.075236,-0.15113,1.0698,-0.075565,-0.072626,-0.032375,3754.8,NA,NA,NA,NA,120.12,NA,1.21,0.591,0.000019624,1,4.2,145.3452
86,8165.2,0.12917,0.16986,1.1205,-0.0032608,-0.0075259,0.0093665,3754.8,NA,NA,NA,NA,183.4,NA,1.21,0.54527,0.000019624,1,4.25,221.914
87,5730.7,-0.16438,-0.18792,1.0106,-0.027851,-0.019976,0.0017631,3754.8,NA,NA,NA,NA,118.78,NA,1.21,0.61543,0.000019624,1,4.3,143.7238
88,7451.8,-0.048936,0.099843,1.097,0.0038438,-0.0070027,-0.02396,3754.8,NA,NA,NA,NA,161.5,NA,1.21,0.56544,0.000019624,1,4.35,195.415
89,6447.2,-0.3989,0.0037454,1.0266,-0.057519,0.031799,0.014549,3754.8,NA,NA,NA,NA,144.29,NA,1.21,0.59685,0.000019624,1,4.4,174.5909
90,5783.1,0.038591,-0.4211,1.0034,-0.066211,-0.06668,-0.032637,3754.8,NA,NA,NA,NA,114.59,NA,1.21,0.61925,0.000019624,1,4.45,138.6539
91,5662.2,0.21123,-0.22616,0.97739,0.068361,0.067934,-0.07483,3754.8,NA,NA,NA,NA,96.679,NA,1.21,0.65936,0.000019624,1,4.5,116.98159
92,8544.9,0.191,0.058757,1.1582,0.021707,-0.041482,0.013298,3754.8,NA,NA,NA,NA,213.28,NA,1.21,0.53227,0.000019624,1,4.55,258.0688
93,4801.2,-0.39481,-0.14886,0.9499,-0.018604,-0.0054372,-0.015897,3754.8,NA,NA,NA,NA,107.98,NA,1.21,0.65567,0.000019624,1,4.6,130.6558
94,8242.8,-0.2367,-0.19406,1.1188,-0.05281,-0.051592,-0.028667,3754.8,NA,NA,NA,NA,125.21,NA,1.21,0.54396,0.000019624,1,4.65,151.5041
95,5768.5,-0.34759,0.2843,1.0219,-0.10663,-0.021193,0.026889,3754.8,NA,NA,NA,NA,176.87,NA,1.21,0.61882,0.000019624,1,4.7,214.0127
96,6962.8,-0.13051,-0.11538,1.0581,-0.10121,-0.0065044,-0.043388,3754.8,NA,NA,NA,NA,99.58,NA,1.21,0.57571,0.000019624,1,4.75,120.4918
