,p,U.0,U.1,U.2,Ksl,Us.0,Us.1,Us.2,rho,voidfraction,Volume,Cell.Type,t,dp
28,166.58,-0.35525,-0.038986,1.7784,2642.8,-0.015041,-0.1213,0.0042266,1.21,0.77891,0.000019629,1,1.4,201.5618
29,93.289,-0.12985,0.25006,1.9629,4526.4,-0.049347,-0.060453,-0.04065,1.21,0.71172,0.000019629,1,1.45,112.87969
30,167.3,-0.10957,0.47586,2.0019,5314.8,-0.034458,0.10254,0.034692,1.21,0.67582,0.000019629,1,1.5,202.433
31,188.97,-0.092538,0.59577,2.0662,6020.8,-0.024214,0.17112,0.043476,1.21,0.66068,0.000019629,1,1.55,228.6537
32,139.34,0.09494,-0.031082,1.9834,4502.8,-0.038826,0.28707,0.029561,1.21,0.70235,0.000019629,1,1.6,168.6014
33,174.61,0.31776,-1.0141,1.9207,4570.7,0.062185,-0.033717,0.0031293,1.21,0.70967,0.000019629,1,1.65,211.2781
34,280.75,-0.27915,-0.49217,1.9097,3585.6,0.019502,-0.21743,0.023337,1.21,0.74593,0.000019629,1,1.7,339.7075
35,53.703,-0.017997,-0.000671,1.7516,2713.6,-0.010089,0.0011597,-0.23892,1.21,0.83003,0.000019629,1,1.75,64.98063
36,131.86,0.075067,0.72844,1.7859,2599.8,-0.024701,-0.069549,-0.053124,1.21,0.80513,0.000019629,1,1.8,159.5506
37,138.96,0.093854,1.1575,1.8947,4090.7,0.032462,0.1062,-0.057566,1.21,0.73161,0.000019629,1,1.85,168.1416
38,332.75,-0.14729,0.48279,2.1043,5693.6,-0.083718,0.22254,0.087029,1.21,0.66399,0.000019629,1,1.9,402.6275
39,150.06,0.074164,-0.46673,1.7238,1720,-0.030522,0.11041,-0.027305,1.21,0.84827,0.000019629,1,1.95,181.5726
40,81.367,0.25025,-0.58599,1.7725,2775.3,0.047572,-0.037724,-0.10086,1.21,0.8027,0.000019629,1,2,98.45407
41,164.8,-0.015983,-1.0326,2.0302,6036.6,0.11366,-0.23471,-0.0069589,1.21,0.65648,0.000019629,1,2.05,199.408
42,295.29,-0.30564,-0.74591,2.0668,6158.6,-0.071161,-0.27559,0.063254,1.21,0.65904,0.000019629,1,2.1,357.3009
43,129.85,0.14927,0.007851,1.8117,2481.8,-0.0031675,-0.2255,0.042017,1.21,0.80469,0.000019629,1,2.15,157.1185
44,98.497,0.32098,0.11637,1.775,2692.8,0.0080047,-0.048442,-0.062412,1.21,0.80237,0.000019629,1,2.2,119.18137
45,183.58,0.4226,0.22176,2.0743,7464.6,0.04326,0.10412,-0.024376,1.21,0.61298,0.000019629,1,2.25,222.1318
46,61.415,-0.048755,-0.012173,1.8407,3200.9,-0.015068,-0.0014888,-0.17468,1.21,0.79627,0.000019629,1,2.3,74.31215
47,315.45,0.37458,0.072945,1.8395,1952.5,0.19336,0.052823,0.060442,1.21,0.83,0.000019629,1,2.35,381.6945
48,70.672,0.30369,0.059296,1.7301,1942.8,0.16696,0.035844,-0.096476,1.21,0.82932,0.000019629,1,2.4,85.51312
49,106.56,0.010101,-0.019195,2.0562,5540.1,0.075712,-0.010112,-0.0066452,1.21,0.67356,0.000019629,1,2.45,128.9376
50,130.94,-0.43358,0.087226,1.9367,4436.5,-0.018068,0.011784,0.008695,1.21,0.71037,0.000019629,1,2.5,158.4374
51,198.94,-0.44753,0.11678,2.0625,5829,-0.14929,0.024272,0.027158,1.21,0.65466,0.000019629,1,2.55,240.7174
52,188.8,0.02792,0.094621,2.0252,3742,-0.11187,0.024545,0.087633,1.21,0.72679,0.000019629,1,2.6,228.448
53,119.34,-0.039985,0.25744,1.7815,2339,-0.055427,0.043064,-0.035561,1.21,0.80413,0.000019629,1,2.65,144.4014
54,140.88,0.057572,0.28963,2.0375,6046.3,0.024487,0.060584,-0.022618,1.21,0.65564,0.000019629,1,2.7,170.4648
55,234.68,-0.051604,0.01498,2.0465,4663.9,-0.067638,0.057984,0.083471,1.21,0.70942,0.000019629,1,2.75,283.9628
56,140.24,0.18639,-0.2061,1.7728,2458.8,0.0072232,-0.012092,-0.047642,1.21,0.79082,0.000019629,1,2.8,169.6904
57,70.376,-0.089376,-0.030316,1.9223,3571.9,-0.030881,-0.0052498,-0.11142,1.21,0.7643,0.000019629,1,2.85,85.15496
58,115.6,0.044041,-0.022014,2.0337,4868.3,0.01884,-0.034364,-0.01456,1.21,0.68787,0.000019629,1,2.9,139.876
59,201.64,0.1359,0.10799,2.0039,5703.8,-0.0057439,0.0000162,0.032026,1.21,0.66012,0.000019629,1,2.95,243.9844
60,185.42,0.28875,-0.16604,1.9843,4997.5,0.06788,-0.049949,0.046805,1.21,0.67907,0.000019629,1,3,224.3582
61,134.63,-0.16846,-0.054607,1.866,3482.4,0.065064,-0.054932,0.0027283,1.21,0.73708,0.000019629,1,3.05,162.9023
62,140.06,-0.38013,0.26304,1.9116,4303.3,-0.014017,0.008045,0.0081687,1.21,0.70751,0.000019629,1,3.1,169.4726
63,397.13,0.056337,0.13014,2.1666,5860.6,-0.077184,0.058472,0.074952,1.21,0.66624,0.000019629,1,3.15,480.5273
64,112.22,0.28109,-0.18926,1.7158,1824.7,-0.00078849,-0.029445,-0.041561,1.21,0.84616,0.000019629,1,3.2,135.7862
65,70.244,0.27705,-0.24323,1.7899,2853,0.044948,-0.039326,-0.093692,1.21,0.79453,0.000019629,1,3.25,84.99524
66,139.53,0.18895,-0.56453,2.1325,6496.7,0.068806,-0.12582,0.018859,1.21,0.64238,0.000019629,1,3.3,168.8313
67,183.42,0.13799,-0.16025,2.0958,6665,0.056086,-0.14856,0.031271,1.21,0.63328,0.000019629,1,3.35,221.9382
68,84.768,-0.14135,-0.047516,1.9998,4389.4,-0.058403,-0.016897,-0.11479,1.21,0.72033,0.000019629,1,3.4,102.56928
69,140.97,-0.1463,0.40255,1.987,4683.9,0.040403,-0.12217,0.0055658,1.21,0.69924,0.000019629,1,3.45,170.5737
70,167.12,-0.3921,0.7926,1.8839,3559.2,-0.043812,0.072156,0.0070332,1.21,0.73547,0.000019629,1,3.5,202.2152
71,186.83,-0.25947,-0.13488,1.9739,4519.2,-0.082077,0.094466,0.0010803,1.21,0.69186,0.000019629,1,3.55,226.0643
72,188.87,0.033237,-0.55114,1.9246,4338.9,-0.062947,0.016001,0.030889,1.21,0.70431,0.000019629,1,3.6,228.5327
73,179.92,0.32155,-0.3698,1.9045,3963.3,0.00084334,-0.077658,0.0075673,1.21,0.71572,0.000019629,1,3.65,217.7032
74,150.63,0.15599,0.12007,1.9587,4932.2,0.066386,-0.085442,0.0083829,1.21,0.67777,0.000019629,1,3.7,182.2623
75,262.45,-0.010558,0.65309,1.9984,4623.4,0.031539,0.10199,0.059541,1.21,0.69907,0.000019629,1,3.75,317.5645
76,130.13,0.064578,0.14713,1.8875,3407.8,0.019178,0.12171,-0.029322,1.21,0.74506,0.000019629,1,3.8,157.4573
77,161.97,0.014235,-0.064023,2.0893,6464.3,-0.0082555,0.0959,0.035039,1.21,0.63227,0.000019629,1,3.85,195.9837
78,199.59,0.24646,-0.65096,1.8746,3219.8,0.028167,-0.043834,0.029355,1.21,0.76241,0.000019629,1,3.9,241.5039
79,196.95,-0.59061,-0.39784,2.2498,9093.1,-0.39484,-0.22945,0.00018657,1.21,0.57253,0.000019629,1,3.95,238.3095
80,192.75,0.36749,-0.68159,2.1156,6867.7,0.085649,-0.22136,0.0058364,1.21,0.6284,0.000019629,1,4,233.2275
81,214.94,-0.0055505,0.3764,1.8092,2611.1,0.066251,-0.12066,0.03571,1.21,0.79942,0.000019629,1,4.05,260.0774
82,127.87,-0.16682,0.33745,1.8268,3937.6,-0.0060516,0.032797,-0.069176,1.21,0.73259,0.000019629,1,4.1,154.7227
83,223.62,-0.31706,-0.073387,2.0626,5998.9,-0.039251,0.058234,0.052011,1.21,0.6533,0.000019629,1,4.15,270.5802
84,177.56,-0.21119,0.45699,1.9296,4445.4,-0.096125,0.094533,0.020972,1.21,0.70849,0.000019629,1,4.2,214.8476
85,144.11,0.052226,-0.24476,1.9265,3995.8,0.012319,0.027154,0.007038,1.21,0.72144,0.000019629,1,4.25,174.3731
86,149.84,-0.20466,-0.24451,1.9094,4048.6,-0.010579,-0.076263,0.008483,1.21,0.71943,0.000019629,1,4.3,181.3064
87,236.87,0.22168,0.12987,2.0984,6246.8,0.037161,-0.040159,0.039071,1.21,0.64319,0.000019629,1,4.35,286.6127
88,192.25,-0.36781,0.26473,1.8713,2719.7,0.015592,-0.013234,0.038407,1.21,0.77546,0.000019629,1,4.4,232.6225
89,120.17,-0.28718,0.058242,1.8371,2967.4,-0.060783,0.033447,-0.08056,1.21,0.76466,0.000019629,1,4.45,145.4057
90,105.09,0.39041,0.10352,1.8627,4679.5,-0.2258,-0.18603,-0.067884,1.21,0.72839,0.000019629,1,4.5,127.1589
91,200.65,0.19667,0.14039,2.1493,6159.3,0.00045331,0.021411,0.072788,1.21,0.65027,0.000019629,1,4.55,242.7865
92,231.25,-0.33154,0.003469,1.8058,3162,-0.026476,0.014066,-0.015563,1.21,0.75329,0.000019629,1,4.6,279.8125
93,120.45,-0.10119,-0.024531,1.9977,5042.3,-0.061784,-0.0036381,0.007731,1.21,0.67674,0.000019629,1,4.65,145.7445
94,167.91,-0.21582,-0.085967,1.9824,5380.8,-0.046433,-0.043202,0.043066,1.21,0.66957,0.000019629,1,4.7,203.1711
95,174.56,-0.086156,0.14999,1.9664,5051.2,-0.081611,-0.0083412,0.013542,1.21,0.6805,0.000019629,1,4.75,211.2176
96,176.32,0.13159,-0.058443,1.901,3760.6,0.02737,-0.005668,0.045353,1.21,0.72421,0.000019629,1,4.8,213.3472
97,149.46,-0.0066664,-0.16883,1.9074,3903,0.022136,0.018528,-0.01587,1.21,0.72373,0.000019629,1,4.85,180.8466
98,143.57,-0.083297,-0.092024,1.9174,4778.8,0.03004,-0.0091897,0.021215,1.21,0.68747,0.000019629,1,4.9,173.7197
99,234.74,-0.25582,-0.048413,2.0445,5384.9,-0.018964,-0.0040541,0.03563,1.21,0.66684,0.000019629,1,4.95,284.0354
100,212.14,0.13044,0.22672,1.8543,2788.1,-0.061958,0.0073596,0.020832,1.21,0.76962,0.000019629,1,5,256.6894
