"","p","U.0","U.1","U.2","Ksl","Us.0","Us.1","Us.2","rho","voidfraction","Volume","Cell.Type"
"23",214.2,0.21996,-0.49059,2.2335,4349.8,-0.02184,-0.17001,0.02894,1.21,0.72438,0.000019629,1
"24",183.62,0.24056,0.023717,2.2377,3273.1,0.13205,-0.22926,0.074564,1.21,0.76452,0.000019629,1
"25",387.25,1.3179,0.31991,2.5362,6379.6,0.25569,0.19763,0.02371,1.21,0.69535,0.000019629,1
"26",141.03,-0.12537,0.39401,2.1189,3163.6,0.053948,0.0076698,-0.027482,1.21,0.77894,0.000019629,1
"27",193.28,-0.319,0.34886,2.3038,5255.7,-0.03539,0.13286,0.03448,1.21,0.6847,0.000019629,1
"28",199.03,-0.13128,0.080764,2.2492,4120.3,-0.02878,0.079423,0.055912,1.21,0.73261,0.000019629,1
"29",150.39,-0.04215,-0.17168,2.114,3039.4,-0.044742,0.055852,-0.0087532,1.21,0.7728,0.000019629,1
"30",153.38,0.16893,-0.33975,2.2205,4133.3,-0.0057797,-0.076535,0.022594,1.21,0.72365,0.000019629,1
"31",157.88,0.21646,0.013703,2.2475,4258.3,0.067207,-0.051526,0.014232,1.21,0.71469,0.000019629,1
"32",190.13,-0.17638,0.28381,2.296,4733.4,0.038931,-0.0085918,0.052639,1.21,0.69839,0.000019629,1
"33",228.35,-0.27657,0.30203,2.1685,3107,-0.040552,0.084556,0.036995,1.21,0.76197,0.000019629,1
"34",160.87,-0.12327,-0.10268,2.1865,3338.9,-0.047826,0.099948,-0.0028107,1.21,0.75094,0.000019629,1
"35",174.76,0.25854,-0.8007,2.1955,3492.1,-0.0043015,-0.023704,0.033822,1.21,0.74759,0.000019629,1
"36",117.19,-0.64852,-0.26866,1.9256,1399.3,0.056255,-0.001181,-0.033094,1.21,0.89178,0.000019629,1
"37",203.36,0.31463,-0.32135,2.2086,3725.4,0.049315,-0.10209,0.011486,1.21,0.73099,0.000019629,1
"38",202.46,0.57162,-0.36668,2.2757,4006.3,0.13577,-0.14391,0.05156,1.21,0.72677,0.000019629,1
"39",141.75,-0.15384,0.37519,2.1148,2903.9,0.089912,-0.039894,-0.0023445,1.21,0.77757,0.000019629,1
"40",197.73,-0.57848,0.6949,2.2932,4872.5,-0.030738,0.10178,0.0053771,1.21,0.69866,0.000019629,1
"41",224.72,0.027912,-0.10743,2.1774,2703.7,-0.089138,0.1074,0.061149,1.21,0.78546,0.000019629,1
"42",133.2,-0.0148,-0.21445,2.0692,2386.5,-0.074869,0.020027,-0.05278,1.21,0.79909,0.000019629,1
"43",155.52,0.40723,0.065329,2.3258,5131.4,0.018591,-0.020592,0.02966,1.21,0.68555,0.000019629,1
"44",269.35,0.74091,-0.34307,2.3361,5347.2,0.12268,-0.037293,0.042982,1.21,0.68758,0.000019629,1
"45",155.56,0.0039077,0.19895,2.0861,1786,0.19375,-0.062883,0.03782,1.21,0.841,0.000019629,1
"46",109.22,-0.45328,0.42391,2.0454,2446.3,0.041116,0.036609,-0.084518,1.21,0.81581,0.000019629,1
"47",98.136,-0.8157,-0.42138,2.053,2567.4,-0.18842,-0.1338,-0.066277,1.21,0.82245,0.000019629,1
"48",206.07,-0.73042,0.49198,2.4121,6227.1,-0.12283,0.17276,0.028865,1.21,0.65811,0.000019629,1
"49",179.38,-0.3359,-0.2277,2.1394,2620,-0.11985,0.0606,0.042312,1.21,0.7982,0.000019629,1
"50",117.02,0.10239,-0.12223,2.1473,3290.1,-0.08066,-0.02196,-0.066481,1.21,0.75678,0.000019629,1
"51",183.14,0.34709,0.04235,2.3382,5053,0.051746,-0.013622,0.063625,1.21,0.68971,0.000019629,1
"52",164.47,0.11467,-0.41511,2.2514,4501.6,0.077632,-0.12175,0.018241,1.21,0.71151,0.000019629,1
"53",179.39,-0.09001,0.15087,2.2686,4282.8,0.086284,-0.096576,0.039937,1.21,0.72078,0.000019629,1
"54",169.6,-0.51001,0.2691,2.138,2972.3,0.0095015,0.038303,0.023371,1.21,0.77088,0.000019629,1
"55",177.05,-0.6035,-0.08038,2.2184,4077.1,-0.12504,0.050843,0.024589,1.21,0.72641,0.000019629,1
"56",179.24,-0.025961,-0.258,2.221,3795.1,-0.13876,0.022067,0.032604,1.21,0.73998,0.000019629,1
"57",168.68,0.27983,-0.28067,2.256,4057.9,-0.046696,0.012528,0.032976,1.21,0.72597,0.000019629,1
"58",110.72,-0.55908,-0.14432,2.2199,4295.3,-0.30634,-0.18428,0.010433,1.21,0.7318,0.000019629,1
"59",191.11,0.30998,-0.31366,2.2106,3847.3,0.08057,-0.084736,0.024725,1.21,0.72935,0.000019629,1
"60",170.5,-0.015685,0.042885,2.2665,4677.1,0.087467,-0.06043,0.028456,1.21,0.69904,0.000019629,1
"61",188.24,-0.21288,0.060389,2.2244,3512.5,0.031031,-0.0085239,0.049229,1.21,0.75046,0.000019629,1
"62",208.13,-0.24393,0.075084,2.242,4103.6,-0.034726,0.0070526,-0.0005058,1.21,0.7299,0.000019629,1
"63",148.8,0.035449,-0.25273,2.1562,3140.8,-0.063873,0.050057,0.033608,1.21,0.76487,0.000019629,1
"64",139.61,0.020889,-0.56671,2.2302,3749.4,-0.055379,-0.038586,0.0039927,1.21,0.73675,0.000019629,1
"65",251.68,0.74439,-0.5287,2.2756,4143.8,0.038137,-0.12466,0.041033,1.21,0.71836,0.000019629,1
"66",155.83,-0.052875,0.089052,2.1456,3056.4,0.050584,-0.10148,0.017769,1.21,0.76212,0.000019629,1
"67",137.27,0.03396,0.323,2.2289,3589.7,0.022441,-0.019395,0.0088609,1.21,0.73924,0.000019629,1
"68",207.43,-0.11331,0.50338,2.3032,4522,-0.0010006,0.082671,0.023624,1.21,0.70832,0.000019629,1
"69",145.08,0.18079,0.47086,2.2886,5076.9,-0.15632,-0.089206,0.0066657,1.21,0.70461,0.000019629,1
"70",206.55,-0.17021,0.092525,2.2228,3197.3,-0.10663,0.1598,0.055562,1.21,0.76269,0.000019629,1
"71",119.25,0.11736,-0.29076,2.1302,3165.3,-0.066311,0.0011083,-0.029663,1.21,0.76372,0.000019629,1
"72",175.93,0.30936,-0.30735,2.3015,5002.5,0.020974,-0.048288,0.044171,1.21,0.68854,0.000019629,1
"73",221.11,0.1646,-0.3329,2.2944,4606.4,0.040844,-0.16857,0.061413,1.21,0.70994,0.000019629,1
"74",143.84,-0.00115,0.26023,2.1322,2924,0.055401,-0.072698,0.013164,1.21,0.78215,0.000019629,1
"75",160.75,-0.1223,0.42976,2.2417,4343.5,0.0035391,0.075084,-0.013064,1.21,0.71352,0.000019629,1
"76",228.2,-0.40298,0.38504,2.2963,4619.5,-0.090714,0.17946,0.080745,1.21,0.71077,0.000019629,1
"77",140.07,0.0054701,0.021394,2.1374,3112.9,-0.079772,0.10795,0.0091119,1.21,0.7668,0.000019629,1
"78",146.12,0.35912,-0.37255,2.2654,3756,0.028182,0.016397,0.006815,1.21,0.73655,0.000019629,1
"79",199.34,0.054928,-0.85498,2.271,5141.4,0.044646,-0.16512,0.034581,1.21,0.68999,0.000019629,1
"80",277.86,-0.28541,0.27252,2.3269,4691.2,-0.11431,0.031608,0.053988,1.21,0.7253,0.000019629,1
"81",191.86,0.14715,0.097917,2.1773,2902.3,0.091674,-0.21837,0.082457,1.21,0.78059,0.000019629,1
"82",121.76,-0.095002,0.53742,2.0774,2541.4,0.048934,-0.024422,-0.040123,1.21,0.80391,0.000019629,1
"83",191.14,-0.36812,0.81318,2.353,5718,-0.046118,0.16656,0.041176,1.21,0.67467,0.000019629,1
"84",200.42,-0.18227,0.45362,2.1929,4240.8,-0.14003,0.19708,0.017116,1.21,0.7299,0.000019629,1
"85",157.25,0.26355,-0.42222,2.1827,3375.5,-0.039754,0.199,0.090886,1.21,0.7704,0.000019629,1
"86",141.96,0.18365,-0.8658,2.0706,2968.7,0.043269,-0.11261,-0.040363,1.21,0.78679,0.000019629,1
"87",295.42,0.24254,-0.50006,2.4076,5743.9,0.085376,-0.2335,0.072363,1.21,0.67595,0.000019629,1
"88",163.19,0.21464,0.05469,2.1075,2273.8,0.0738,-0.12269,0.011834,1.21,0.80751,0.000019629,1
"89",115.99,0.13007,0.25437,2.1864,3561.1,0.055393,-0.036701,-0.032507,1.21,0.75482,0.000019629,1
"90",183.76,-0.05756,0.73554,2.2783,4988.7,-0.00065105,0.10658,0.041524,1.21,0.69382,0.000019629,1
"91",116.1,-0.049518,-0.11699,2.0882,2152.4,-0.17447,0.014861,-0.0065669,1.21,0.81604,0.000019629,1
"92",201.29,-0.13151,0.2276,2.2881,5032.1,-0.061192,0.19437,0.04668,1.21,0.69101,0.000019629,1
"93",156.67,0.40115,-0.19891,2.2293,3615,0.013857,0.17076,0.043426,1.21,0.74784,0.000019629,1
"94",146.04,0.15859,-0.64972,2.1202,3238.7,0.10435,-0.042817,0.0024608,1.21,0.76205,0.000019629,1
"95",242.37,0.066219,-0.61914,2.3437,5597.8,0.055682,-0.19338,0.039554,1.21,0.67242,0.000019629,1
"96",203.91,-0.072485,0.24497,2.1297,2087.2,0.067322,-0.16203,0.069033,1.21,0.82285,0.000019629,1
"97",145.81,-0.31398,0.33206,2.0321,1690.1,-0.015887,0.01051,-0.044923,1.21,0.85421,0.000019629,1
"98",130.29,-0.21515,0.53185,2.2087,4239.3,-0.09457,0.16813,-0.047498,1.21,0.73057,0.000019629,1
"99",248.56,0.25508,-0.093628,2.3072,4651.4,-0.034222,0.10122,0.077053,1.21,0.7106,0.000019629,1
"100",150.77,-0.073303,0.021191,2.3105,4428.9,0.011671,0.05109,0.025115,1.21,0.71033,0.000019629,1
"101",152.46,0.11683,-0.24624,2.1597,3194.3,0.02387,-0.044153,0.030267,1.21,0.75926,0.000019629,1
"102",118.18,0.27823,-0.067132,2.1431,3410,-0.047649,0.013002,-0.054377,1.21,0.76589,0.000019629,1
"103",173.9,0.12043,-0.12723,2.2348,3869.1,0.028623,-0.10582,0.0081067,1.21,0.73092,0.000019629,1
"104",202.32,0.0038812,0.5168,2.2687,4228.7,0.041388,-0.052003,0.054152,1.21,0.71764,0.000019629,1
"105",199.44,0.042337,0.31918,2.1486,2855,0.016948,0.067613,0.018718,1.21,0.77041,0.000019629,1
"106",131.46,-0.045551,-0.042688,2.2199,3410.8,-0.0010879,0.041681,0.0022746,1.21,0.74427,0.000019629,1
"107",180.4,-0.24654,-0.10165,2.3226,4481.5,-0.03571,-0.0021117,0.045941,1.21,0.7084,0.000019629,1
"108",186.24,0.13973,-0.27193,2.2493,4326.2,-0.0089885,-0.023015,0.018982,1.21,0.71564,0.000019629,1
"109",187.94,-0.15603,-0.20446,2.2506,3935.8,-0.056155,-0.11507,0.052683,1.21,0.72774,0.000019629,1
"110",166.54,0.14935,0.22953,2.1143,2717.4,-0.012309,-0.08015,0.0012567,1.21,0.78389,0.000019629,1
"111",166.07,0.27891,0.38832,2.2711,4614,0.02043,0.018162,0.013091,1.21,0.70695,0.000019629,1
"112",221.27,0.12372,0.40376,2.2101,4204.9,0.069861,0.10838,0.02653,1.21,0.7185,0.000019629,1
"113",62.818,-0.0051542,0.0062298,1.9118,714.28,-0.00078107,0.0015614,-0.22004,1.21,0.92997,0.000019629,1
"114",254.32,0.083668,-0.40113,2.4337,5516.1,0.039065,-0.064286,0.069983,1.21,0.69065,0.000019629,1
"115",143.76,-0.64074,-0.32629,2.13,3032.4,-0.12652,-0.16377,-0.0076486,1.21,0.7785,0.000019629,1
"116",143.28,-0.0716,0.23311,2.259,4740.9,-0.14758,-0.056847,0.031209,1.21,0.70666,0.000019629,1
"117",170.88,-0.045437,-0.28061,2.1651,3974.1,-0.045046,-0.00049201,0.017112,1.21,0.74255,0.000019629,1
"118",169.48,-0.34151,-0.39285,2.2829,4564,-0.10364,-0.10607,0.043204,1.21,0.71003,0.000019629,1
"119",165.53,0.16091,0.32754,2.2082,3837.9,-0.02425,-0.028564,0.031485,1.21,0.73434,0.000019629,1
"120",178.36,0.080162,0.13054,2.1788,3401,0.070476,0.036625,0.012759,1.21,0.74607,0.000019629,1
"121",161.33,-0.11324,-0.019664,2.2438,4091.7,0.04201,0.021818,0.012584,1.21,0.72282,0.000019629,1
"122",181.53,-0.40203,0.049474,2.1856,3625.3,-0.013297,0.0036813,0.027864,1.21,0.74121,0.000019629,1
"123",181.66,-0.16634,0.065041,2.2328,3895.4,-0.056392,0.020027,0.026027,1.21,0.72675,0.000019629,1
"124",64.771,-0.01661,-0.0096723,1.9351,1155.8,-0.0076736,-0.00073163,-0.29095,1.21,0.89736,0.000019629,1
"125",160.73,-0.26356,0.080944,2.1961,3257.9,-0.053035,0.017109,0.028733,1.21,0.75217,0.000019629,1
"126",160.54,0.074842,0.097603,2.2632,3879.9,-0.023052,0.0025262,-0.0050438,1.21,0.73186,0.000019629,1
"127",232.99,-0.0084714,0.17473,2.3144,4645,0.0070972,0.035959,0.052301,1.21,0.69995,0.000019629,1
"128",165.47,-0.27864,0.086472,2.1572,2845.2,-0.027955,0.036884,0.023741,1.21,0.77249,0.000019629,1
"129",149.81,0.020348,-0.15499,2.237,3768.2,-0.019892,-0.003223,-0.012095,1.21,0.73648,0.000019629,1
"130",204.29,-0.23304,-0.074571,2.2692,4155.7,-0.027049,-0.04563,0.057883,1.21,0.72236,0.000019629,1
"131",174.72,-0.14885,0.31509,2.1464,2956.7,-0.068682,0.012086,0.0066588,1.21,0.76948,0.000019629,1
"132",148.24,0.080265,0.22717,2.2627,4629.2,-0.01046,0.031317,0.023333,1.21,0.70014,0.000019629,1
"133",170.37,-0.046558,0.060637,2.2133,3793.7,-0.019888,0.065039,0.051536,1.21,0.73451,0.000019629,1
"134",165.31,0.089716,-0.0035225,2.2292,3372.1,0.0037846,0.024629,0.0087641,1.21,0.74671,0.000019629,1
"135",103.42,-0.027966,-0.016095,1.988,1876.8,-0.013096,-0.004639,-0.29894,1.21,0.8666,0.000019629,1
"136",170.59,0.077909,0.062592,2.2249,3731.6,-0.008736,0.02371,0.018072,1.21,0.7331,0.000019629,1
"137",180.63,-0.014881,-0.16909,2.2593,4336.5,0.0099241,-0.025104,0.050482,1.21,0.70859,0.000019629,1
"138",183.23,-0.054418,-0.064103,2.1965,3142.6,0.01589,-0.034378,0.039698,1.21,0.75953,0.000019629,1
"139",166.85,-0.22825,0.1736,2.1735,2942.5,0.0088603,0.00036932,-0.0028043,1.21,0.77263,0.000019629,1
"140",163.12,-0.039416,-0.20826,2.2571,3912.8,-0.035708,-0.0049498,0.01188,1.21,0.72543,0.000019629,1
"141",182.65,0.21128,-0.45657,2.2407,3974.2,0.034049,-0.046958,0.044226,1.21,0.72537,0.000019629,1
"142",166.43,-0.047868,-0.24233,2.2337,3508.9,0.01411,-0.080134,0.022479,1.21,0.74079,0.000019629,1
"143",169.14,0.21077,-0.12007,2.2509,4072.2,0.011721,-0.097507,0.024897,1.21,0.72195,0.000019629,1
"144",213.61,0.026931,0.33975,2.2354,3593.3,0.018104,-0.07962,0.045031,1.21,0.74713,0.000019629,1
"145",174.03,0.15898,0.35459,2.1631,3139.4,0.011352,0.054483,0.0032417,1.21,0.76203,0.000019629,1
"146",86.545,-0.019615,-0.0057119,2.0593,2582.2,-0.016273,-0.003213,-0.22134,1.21,0.83637,0.000019629,1
"147",150.42,-0.066131,0.0029856,2.2187,3585.5,0.02138,0.068788,-0.0029955,1.21,0.74244,0.000019629,1
"148",175.98,-0.42864,-0.22793,2.2843,4677.1,-0.021476,-0.019001,0.015313,1.21,0.7045,0.000019629,1
"149",225.3,-0.20724,-0.10254,2.2642,4004.5,-0.069591,0.033212,0.061395,1.21,0.72942,0.000019629,1
"150",141.63,-0.030834,-0.17911,2.1716,3223.7,-0.044406,-0.046481,0.0057191,1.21,0.7563,0.000019629,1
